ENTRY	GENE NAME	PROTEIN NAME	LOCATION
Q0KEX9	H16_A0291	Coenzyme F390 synthetase (EC 6.2.1.-)	Cytoplasm
Q0JZ13	metY2 H16_B2229	O-Acetylhomoserine sulfhydrylase (EC 2.5.1.49)	Cytoplasm
Q0K5A3	serS2 H16_B0015	Seryl-tRNA synthetase (EC 6.1.1.11)	Cytoplasm
Q0K7D2	hutF H16_A3014	Formiminoglutamate deiminase (EC 3.5.3.13)	Cytoplasm
Q0K6R0	H16_A3236	N-Acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	Cytoplasm
Q0K082	H16_B1810	ABC-type transporter, ATPase component: PAAT family (EC 3.6.3.21)	Cytoplasm
Q0K3F6	H16_B0671	NADH:flavin oxidoreductase (Old Yellow Enzyme family) (EC 1.5.1.30)	Cytoplasm
Q0JYI9	caa H16_B2403	Periplasmic alpha-carbonic anhydrase (EC 4.2.1.1)	Cytoplasm
Q0K4Q4	H16_B0219	N-Acetyltransferase, (GNAT) family (EC 2.3.1.-)	Cytoplasm
Q0K8X5	abmG H16_A2457	2-Aminobenzoate-CoA ligase (EC 6.2.1.32)	Cytoplasm
Q0K0H5	pntB4 H16_B1714	NAD(P) transhydrogenase subunit beta (EC 7.1.1.1) (Nicotinamide nucleotide transhydrogenase subunit beta)	Cytoplasm
Q0K722	purB H16_A3124	Adenylosuccinate lyase (ASL) (EC 4.3.2.2) (Adenylosuccinase)	Cytoplasm
Q0KD58	H16_A0917	Predicted ATPase (EC 3.6.1.-)	Cytoplasm
Q0JY17	H16_B2575	Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains (EC 3.6.1.-)	Cytoplasm
Q0KCB4	cysE H16_A1216	Serine acetyltransferase (EC 2.3.1.30)	Cytoplasm
Q0JZX8	H16_B1914	Enoyl-CoA-hydratase/isomerase (EC 4.2.1.17)	Cytoplasm
Q0K766	serB2 H16_A3080	Phosphoserine phosphatase (EC 3.1.3.3)	Cytoplasm
Q0K1A7	katE2 H16_B1428	Catalase (EC 1.11.1.6)	Cytoplasm
Q0JZ84	H16_B2158	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K3Q9	acnB H16_B0568	Aconitate hydratase B (EC 4.2.1.3) (EC 4.2.1.99) (2-methylisocitrate dehydratase)	Cytoplasm
Q0K3E4	H16_B0683	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KDY1	fdsA H16_A0642	NAD-dependent formate dehydrogenase alpha subunit (EC 1.2.1.2)	Cytoplasm
Q0K489	H16_B0386	Acetyl-CoA synthetase (NDP-forming) (EC 6.2.1.1)	Cytoplasm
Q0KCR2	H16_A1068	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KEU6	fruA H16_A0324	Phosphotransferase system, fructose-specific component IIA (EC 2.7.1.69)	Cytoplasm
Q0JY37	H16_B2555	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	Cytoplasm
Q0K4F0	H16_B0324	Fumarylacetoacetate hydrolase (EC 3.7.1.2)	Cytoplasm
Q0K7M4	ppc H16_A2921	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	Cytoplasm
Q0K4S4	pcaJ H16_B0199	3-Oxoadipate CoA-transferase subunit B (EC 2.8.3.6)	Cytoplasm
Q9K4U8	norR2 H16_B2325	Nitric oxide reductase transcription regulator NorR2	Cytoplasm
Q0JZ73	ispH H16_B2169	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (HMBPP reductase) (EC 1.17.7.4)	Cytoplasm
Q0KDI1	hisC hisC1 H16_A0793	Histidinol-phosphate aminotransferase (EC 2.6.1.9) (Imidazole acetol-phosphate transaminase)	Cytoplasm
Q0KCF2	edd1 edd H16_A1178	Phosphogluconate dehydratase (EC 4.2.1.12)	Cytoplasm
Q0K7Y5	H16_A2808	BEC protein-catalyzes hydroxylation of indole to indoxyl / Acyl-CoA dehydrogenase (EC 1.3.99.-)	Cytoplasm
Q0K134	frcK H16_B1503	Fructokinase (EC 2.7.1.4)	Cytoplasm
Q0KCL7	H16_A1113	Pyruvate decarboxylase or related thiamine pyrophosphate-requiring enzyme (EC 4.1.1.-)	Cytoplasm
Q0KB86	H16_A1603	Predicted spermidine synthase with an N-terminalmembrane domain (EC 2.5.1.16)	Cytoplasm
Q0KAS1	H16_A1791	Predicted redox protein, regulator of disulfide bond formation (EC 4.6.1.1)	Cytoplasm
Q0K831	H16_A2761	NADH pyrophosphatase I of the Nudix family of hydrolases (EC 3.6.1.22)	Cytoplasm
Q0KF40	H16_A0229	Lauroyl/myristoyl acyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K7M6	hemXD H16_A2919	Two domain protein: Uroporphyrinogen-III synthase/methylase (EC 2.1.1.107)	Cytoplasm
Q0K4J3	ilvD H16_B0280	Dihydroxy-acid dehydratase (DAD) (EC 4.2.1.9)	Cytoplasm
Q0K6W2	H16_A3184	Uncharacterized protein, 4-oxalocrotonate tautomerase homolog (EC 5.3.2.-)	Cytoplasm
Q0K415	potA H16_B0462	Spermidine/putrescine import ATP-binding protein PotA (EC 7.6.2.11)	Cytoplasm
Q0K370	H16_B0757	Dioxygenase related to 2-nitropropane dioxygenase (EC 1.13.11.-)	Cytoplasm
P52993	sucB odhB H16_A2324	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61) (2-oxoglutarate dehydrogenase complex component E2) (OGDC-E2) (Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex)	Cytoplasm
Q0K0I9	fdwA H16_B1700	Tungsten-containing formate dehydrogenase alpha subunit (EC 1.2.1.2)	Cytoplasm
Q0KDZ0	pcaH2 H16_A0633	Protocatechuate 3,4-dioxygenase beta subunit (EC 1.13.11.-)	Cytoplasm
Q0JY27	pgl H16_B2565	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)	Cytoplasm
P40853	cbbZP PHG419	Phosphoglycolate phosphatase, plasmid (PGP) (PGPase) (EC 3.1.3.18)	Cytoplasm
Q59101	cbbAP PHG416	Fructose-bisphosphate aldolase, plasmid (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase)	Cytoplasm
Q0JZC9	citE4 H16_B2113	Citrate lyase beta subunit (EC 4.1.3.6)	Cytoplasm
Q0K377	H16_B0750	Salicylate hydroxylase (EC 1.14.13.1)	Cytoplasm
Q0K6Z9	tktA H16_A3147	Transketolase (EC 2.2.1.1)	Cytoplasm
Q0K2Y4	H16_B0848	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0KA62	ald H16_A2009	Alanine dehydrogenase (EC 1.4.1.1)	Cytoplasm
Q0K8J3	H16_A2596	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KC68	H16_A1263	Probable taurine catabolism dioxygenase (EC 1.14.11.-)	Cytoplasm
Q0KDZ9	hpaF H16_A0624	5-Carboxymethyl-2-hydroxymuconate isomerase (EC 5.3.3.10)	Cytoplasm
Q0JYX7	narG2 H16_B2265	Respiratory nitrate reductase alpha chain (NarG) (EC 1.7.99.4)	Cytoplasm
Q0K8F4	citE1 H16_A2635	Citrate lyase beta subunit (EC 4.1.3.6)	Cytoplasm
Q0K7Q2	rfbF H16_A2893	Putative glucose-1-phosphate cytidylyltransferase (EC 2.7.7.33)	Cytoplasm
Q0K1U6	H16_B1238	Acid phosphatase (EC 3.1.3.2)	Cytoplasm
Q0K798	dfp H16_A3048	Coenzyme A biosynthesis bifunctional protein CoaBC (EC 4.1.1.36) (EC 6.3.2.5) (DNA/pantothenate metabolism flavoprotein)	Cytoplasm
Q0K448	H16_B0428	Putative fumarylpyruvate hydrolase (EC 3.7.1.5)	Cytoplasm
Q0KBU1	arcB H16_A1394	Ornithine cyclodeaminase (EC 4.3.1.12)	Cytoplasm
Q0K9S5	H16_A2149	Acyl-CoA dehydrogenase, long-chain specific (EC 1.3.99.-)	Cytoplasm
Q0K7I1	cobD H16_A2964	Cobalamin biosynthesis protein (CobD) (EC 6.3.1.10)	Cytoplasm
Q0K2L3	pcpE H16_B0970	2-Chloromaleylacetate/maleylacetate reductase (EC 1.3.1.32)	Cytoplasm
Q0K8X1	abmA H16_A2461	2-Aminobenzoyl-CoA monooxygenase/reductase (EC 1.14.13.40)	Cytoplasm
Q0K3Z2	H16_B0485	Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.99.2)	Cytoplasm
Q0K8P2	H16_A2546	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	Cytoplasm
Q0K0U4	upp upp2 H16_B1595	Uracil phosphoribosyltransferase (EC 2.4.2.9) (UMP pyrophosphorylase) (UPRTase)	Cytoplasm
Q0K0F4	H16_B1738	Enoyl-CoA hydratase/isomerase family (EC 4.2.1.17)	Cytoplasm
Q0KAP0	H16_A1828	Glucose/sorbosone dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0K9Y6	H16_A2086	Amidase (EC 3.5.1.-)	Cytoplasm
Q0K4E4	acmD H16_B0330	Amidohydrolase, similiar to 2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)	Cytoplasm
Q0K2K8	H16_B0975	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KAW3	H16_A1734	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (EC 3.5.1.-)	Cytoplasm
Q0KBW5	folD H16_A1370	Bifunctional protein FolD [Includes: Methylenetetrahydrofolate dehydrogenase (EC 1.5.1.5); Methenyltetrahydrofolate cyclohydrolase (EC 3.5.4.9)]	Cytoplasm
Q0K8H7	trpA H16_A2612	Tryptophan synthase alpha chain (EC 4.2.1.20)	Cytoplasm
Q0K6V6	H16_A3190	Predicted thioesterase (EC 3.1.2.-)	Cytoplasm
Q0K7P5	gmd H16_A2900	GDP-mannose 4,6-dehydratase (EC 4.2.1.47) (GDP-D-mannose dehydratase)	Cytoplasm
Q0K2Z9	H16_B0833	NAD-dependent aldehyde dehydrogenase (EC 1.2.1.3)	Cytoplasm
Q0JYV1	pcaH1 H16_B2291	Protocatechuate 3,4-dioxygenase beta chain (EC 1.13.11.3)	Cytoplasm
Q0KFC7	H16_A0142	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0JZX4	H16_B1918	Benzoate-coenzyme A ligase (EC 6.2.1.25)	Cytoplasm
Q0K840	galU H16_A2752	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9) (UDP-glucose pyrophosphorylase)	Cytoplasm
Q0KEQ9	H16_A0361	Putative fumarylacetoacetat hydroxylase (EC 3.7.1.2)	Cytoplasm
Q0K061	dapA4 H16_B1831	Dihydrodipicolinate synthase (DapA) (EC 4.2.1.52)	Cytoplasm
Q0KEJ4	ilvA H16_A0427	L-threonine dehydratase (EC 4.3.1.19) (Threonine deaminase)	Cytoplasm
Q0K5G6	fmt H16_A3699	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	Cytoplasm
Q0K5R9	H16_A3594	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0K8J9	pncB H16_A2589	Nicotinate phosphoribosyltransferase (NAPRTase) (EC 6.3.4.21)	Cytoplasm
Q0K3Y2	H16_B0495	Nitrilotriacetate monooxygenase component b (EC 1.14.13.-)	Cytoplasm
Q0JZ85	H16_B2157	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K7P0	manC2 H16_A2905	Mannose-1-phosphate guanylyltransferase (EC 2.7.7.22)	Cytoplasm
Q0K7N9	H16_A2906	dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13) (Thymidine diphospho-4-keto-rhamnose 3,5-epimerase)	Cytoplasm
Q0KCT8	leuA H16_A1041	2-isopropylmalate synthase (EC 2.3.3.13) (Alpha-IPM synthase) (Alpha-isopropylmalate synthase)	Cytoplasm
Q0KEA2	plsC1 H16_A0519	1-Acylglycerol-3-phosphate O-acyltransferase (EC 2.3.1.51)	Cytoplasm
Q0KDA7	H16_A0867	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0JYL4	cysK4 H16_B2378	Cysteine synthase (EC 2.5.1.47)	Cytoplasm
Q0K6H7	acyP H16_A3325	Acylphosphatase (EC 3.6.1.7) (Acylphosphate phosphohydrolase)	Cytoplasm
Q0KDY3	fdsG H16_A0640	NAD-dependent formate dehydrogenase gamma subunit (EC 1.2.1.2)	Cytoplasm
Q0KBS4	H16_A1412	Benzoate-coenzyme A ligase (EC 6.2.1.25)	Cytoplasm
Q0KA41	guaB H16_A2030	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	Cytoplasm
Q0K9Y4	H16_A2088	Phosphatidate cytidylyltransferase	Cytoplasm
Q0KAG7	cysK2 H16_A1903	Cysteine synthase (EC 2.5.1.47)	Cytoplasm
Q0K7L4	dcd H16_A2931	dCTP deaminase (EC 3.5.4.13) (Deoxycytidine triphosphate deaminase)	Cytoplasm
Q0K3L6	hprA H16_B0611	Glycerate dehydrogenase (EC 1.1.1.29)	Cytoplasm
Q0K367	H16_B0760	Fructose-2,6-bisphosphatase (EC 3.1.3.46)	Cytoplasm
Q0K8G0	sdhB H16_A2629	Succinate dehydrogenase iron-sulfur subunit (EC 1.3.5.1)	Cytoplasm
Q0K797	dut H16_A3049	Deoxyuridine 5'-triphosphate nucleotidohydrolase (EC 3.6.1.23)	Cytoplasm
Q0K6D0	ubiX2 ubiX H16_A3372	Flavin prenyltransferase UbiX (EC 2.5.1.129)	Cytoplasm
Q0K3H0	H16_B0657	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0K6X4	accC2 H16_A3172	Biotin carboxylase (EC 6.3.4.14) (EC 6.4.1.2)	Cytoplasm
Q0KDA1	H16_A0873	Enoyl-CoA hydratase/carnithine racemase (EC 4.2.1.17)	Cytoplasm
Q0KAE6	ptpS H16_A1924	6-Pyruvoyl tetrahydrobiopterin synthase protein	Cytoplasm
Q0K566	leuC4 H16_B0052	3-Isopropylmalate dehydratase large subunit (EC 4.2.1.33)	Cytoplasm
Q0KA22	dxr H16_A2049	1-deoxy-D-xylulose 5-phosphate reductoisomerase (DXP reductoisomerase) (EC 1.1.1.267) (1-deoxyxylulose-5-phosphate reductoisomerase) (2-C-methyl-D-erythritol 4-phosphate synthase)	Cytoplasm
Q0K8J6	H16_A2592	Ferredoxin--NADP reductase 2 (FNR 2) (Fd-NADP(+) reductase 2) (EC 1.18.1.2)	Cytoplasm
Q0KBE2	H16_A1547	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	Cytoplasm
Q0KA26	lpxD H16_A2045	UDP-3-O-acylglucosamine N-acyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K274	H16_B1109	Putative dioxygenase, 2OG-Fe(II) oxygenase superfamily (EC 1.13.11.-)	Cytoplasm
Q0K3G5	H16_B0662	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0KAK4	rfbA H16_A1864	Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	Cytoplasm
P50321	cbbGC cbbG2 H16_B1386	Glyceraldehyde-3-phosphate dehydrogenase, chromosomal (GAPDH) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)	Cytoplasm
Q0KC96	mvaB H16_A1235	Hydroxymethylglutaryl-CoA lyase (EC 4.1.3.4)	Cytoplasm
Q0K7E9	cysD H16_A2996	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4)	Cytoplasm
Q0K597	H16_B0021	Acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0KF88	bioF H16_A0181	8-amino-7-oxononanoate synthase (AONS) (EC 2.3.1.47) (7-keto-8-amino-pelargonic acid synthase) (7-KAP synthase) (KAPA synthase) (8-amino-7-ketopelargonate synthase)	Cytoplasm
Q0K8Q5	murI H16_A2529	Glutamate racemase (EC 5.1.1.3)	Cytoplasm
Q0K5J1	H16_A3673	Ornithine cyclodeaminase (EC 4.3.1.12)	Cytoplasm
Q0K8W8	gloB2 gloB H16_A2464	Hydroxyacylglutathione hydrolase (EC 3.1.2.6) (Glyoxalase II) (Glx II)	Cytoplasm
Q0K5R3	H16_A3600	2-Hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	Cytoplasm
Q0K4C9	gnl2 H16_B0345	Gluconolactonase (EC 3.1.1.17)	Cytoplasm
Q0K9L3	iclA H16_A2211	Isocitrate lyase (EC 4.1.3.1)	Cytoplasm
Q0KAI2	H16_A1888	Short chain dehydrogenase (EC 1.-.-.-)	Cytoplasm
Q0K0I0	H16_B1709	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0KBZ4	spoT2 H16_A1337	GTP pyrophosphokinase (EC 2.7.6.5)	Cytoplasm
Q0KEF9	H16_A0462	Acetyl-CoA C-acyltransferase (EC 2.3.1.16)	Cytoplasm
Q0KBR4	H16_A1422	Transcriptional regulator, LuxR-family containing alpha/beta hydrolase domain (EC 3.1.1.-)	Cytoplasm
Q0K6F8	ubiX1 ubiX H16_A3344	Flavin prenyltransferase UbiX (EC 2.5.1.129)	Cytoplasm
Q0JY92	H16_B2500	Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	Cytoplasm
Q0K6J5	H16_A3307	Putative enoyl-CoA hydratase (EC 4.2.1.-)	Cytoplasm
Q0K3N0	bphH H16_B0597	2-Oxopent-4-enoate hydratase (EC 4.2.1.80)	Cytoplasm
Q0K2A7	aroG2 H16_B1076	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Cytoplasm
Q0K021	pta2 H16_B1871	Phosphotransacetylase (EC 2.3.1.8)	Cytoplasm
Q0K4F3	H16_B0321	Altronate dehydratase (EC 4.2.1.7)	Cytoplasm
Q0K4C7	serA2 H16_B0347	D-3-Phosphoglycerate dehydrogenase (EC 1.1.1.95)	Cytoplasm
Q0K480	H16_B0395	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KA98	ivd2 H16_A1972	Isovaleryl-CoA dehydrogenase (EC 1.3.99.10)	Cytoplasm
Q0K7T2	phaZ2 H16_A2862	Intracellular poly(3-hydroxybutyrate) depolymerase (EC 3.1.1.75)	Cytoplasm
Q0K833	H16_A2759	N-Acetylglutamate synthase or related acetyltransferase (EC 2.3.1.-)	Cytoplasm
Q0K737	katE1 H16_A3109	Catalase (EC 1.11.1.6)	Cytoplasm
Q0KAR0	H16_A1806	Acetaldehyde dehydrogenase (EC 1.2.1.10) (Acetaldehyde dehydrogenase [acetylating])	Cytoplasm
Q0K3T9	poxR H16_B0538	Activator of phenol-degradative genes,PspF-family (EC 3.6.1.-)	Cytoplasm
Q0K7H7	cobT H16_A2968	Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase (NN:DBI PRT) (EC 2.4.2.21) (N(1)-alpha-phosphoribosyltransferase)	Cytoplasm
Q0K1X5	H16_B1209	N-Acyl-D-Amino Acid Deacylase (EC 3.5.1.14)	Cytoplasm
Q0K5P3	gcvP H16_A3621	Glycine dehydrogenase (decarboxylating) (EC 1.4.4.2) (Glycine cleavage system P-protein) (Glycine decarboxylase) (Glycine dehydrogenase (aminomethyl-transferring))	Cytoplasm
Q0KDI7	ubiG H16_A0787	Ubiquinone biosynthesis O-methyltransferase (2-polyprenyl-6-hydroxyphenol methylase) (EC 2.1.1.222) (3-demethylubiquinone 3-O-methyltransferase) (EC 2.1.1.64)	Cytoplasm
Q0KEZ6	H16_A0274	Lactoylglutathione lyase (EC 4.4.1.5)	Cytoplasm
Q0KCS6	nuoE H16_A1054	NADH dehydrogenase chain E (EC 1.6.5.3)	Cytoplasm
Q0JZZ4	xdhB2 H16_B1898	Putative xanthine dehydrogenase subunit (EC 1.17.1.4)	Cytoplasm
Q0K028	H16_B1864	Putative acyl-CoA dehydrogenase, putative desulfurization enzyme (EC 3.1.2.-)	Cytoplasm
Q0KDA2	H16_A0872	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K7A4	purN H16_A3042	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2) (5'-phosphoribosylglycinamide transformylase) (GAR transformylase) (GART)	Cytoplasm
Q0K3Q5	H16_B0572	Glucose/sorbosone dehydrogenase (EC 1.1.1.-)	Cytoplasm
Q0KEE4	leuB1 H16_A0477	3-Isopropylmalate dehydrogenase (EC 1.1.1.85)	Cytoplasm
Q0K3F1	H16_B0676	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K8G2	cisY H16_A2627	Citrate synthase	Cytoplasm
Q0KCL2	H16_A1118	MoxR-like ATPase (EC 3.6.1.-)	Cytoplasm
Q0KBN4	serB1 H16_A1452	Phosphoserine phosphatase (EC 3.1.3.3)	Cytoplasm
Q0KF35	aidB H16_A0234	Acyl-CoA dehydrogenase, short-chain specific (Probable AidB protein) (EC 1.3.99.3)	Cytoplasm
Q0KBC2	gcvT2 H16_A1567	Aminomethyltransferase (EC 2.1.2.10)	Cytoplasm
Q0K6Y5	aroE H16_A3161	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Cytoplasm
Q0KAX9	H16_A1718	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0KF18	H16_A0251	Predicted nucleoside-diphosphate-sugar epimerase (EC 5.1.3.-)	Cytoplasm
Q0KAY2	apbA1 H16_A1715	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	Cytoplasm
Q0K1B5	H16_B1420	Hydroquinone meta cleavage dioxygenase (EC 1.13.11.-)	Cytoplasm
Q0K1G6	H16_B1369	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0KAA9	benC H16_A1961	Benzoate 1,2-dioxygenase electron transfer component (EC 1.14.12.10)	Cytoplasm
Q0K2G9	phaZ5 H16_B1014	Intracellular poly(3-hydroxybutyrate) depolymerase (EC 3.1.1.75)	Cytoplasm
Q0K4D5	phaZ3 H16_B0339	Intracellular poly(3-hydroxybutyrate) depolymerase (EC 3.1.1.75)	Cytoplasm
Q0KCN2	H16_A1098	Gamma-glutamyltransferase 1 (EC 2.3.2.2)	Cytoplasm
Q0K281	H16_B1102	Acetyl-CoA synthetase (EC 6.2.1.1)	Cytoplasm
Q0K6R2	nrdB H16_A3234	Ribonucleoside-diphosphate reductase subunit beta (EC 1.17.4.1)	Cytoplasm
Q0K0Q8	pta1 H16_B1631	Phosphotransacetylase (EC 2.3.1.8)	Cytoplasm
Q0K3W0	H16_B0517	Zn-dependent alcohol dehydrogenase (EC 1.1.1.1)	Cytoplasm
Q0K456	H16_B0420	Enoyl-CoA hydratase (EC 4.2.1.17)	Cytoplasm
Q0KCR3	H16_A1067	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0KEV6	nagA H16_A0314	N-Acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	Cytoplasm
Q0K8S5	H16_A2508	Glycerol-3-phosphate dehydrogenase (EC 1.1.99.5)	Cytoplasm
Q0K672	gltB1 H16_A3431	Glutamate synthase [NADPH], Glutamate synthase amidotransferase domain (EC 1.4.1.13)	Cytoplasm
Q0KD49	H16_A0926	N-Carbamoylsarcosine amidohydrolase (CSHase) (EC 3.5.1.59)	Cytoplasm
Q0K3F9	H16_B0668	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K859	ispA H16_A2733	Geranylgeranyl pyrophosphate synthase (EC 2.5.1.10)	Cytoplasm
Q0KEE6	H16_A0475	ABC-type transporter, ATPase component: PAAT family (EC 3.6.3.21)	Cytoplasm
Q0KA69	phaB2 H16_A2002	Acetoacetyl-CoA reductase (EC 1.1.1.36)	Cytoplasm
Q0KDH2	ugd H16_A0802	UDP-glucose 6-dehydrogenase (EC 1.1.1.22)	Cytoplasm
Q0K4B8	H16_B0356	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K5L8	parA2 H16_A3646	ATPase involved in chromosome partitioning (EC 3.6.1.-)	Cytoplasm
Q0K393	H16_B0734	Beta-ketoacyl-ACP reductase (EC 1.3.1.-)	Cytoplasm
P46368	acoD H16_B1960	Acetaldehyde dehydrogenase 2 (EC 1.2.1.3) (Acetaldehyde dehydrogenase II) (ACDH-II)	Cytoplasm
Q0K3A3	H16_B0724	Enoyl-CoA hydratase/isomerase family (EC 4.2.1.17)	Cytoplasm
Q0K4B9	H16_B0355	Acyl-CoA transferase/carnitine dehydratase (EC 2.8.3.-)	Cytoplasm
Q0K1P3	phnN H16_B1291	Ribose 1,5-bisphosphate phosphokinase PhnN (EC 2.7.4.23) (Ribose 1,5-bisphosphokinase)	Cytoplasm
Q0KDM0	H16_A0753	Thioredoxin reductase (EC 1.8.1.9)	Cytoplasm
Q0K3G2	H16_B0665	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
P19923	cfxP H16_B1389	Phosphoribulokinase, chromosomal (PRK) (PRKase) (EC 2.7.1.19) (Phosphopentokinase)	Cytoplasm
Q0JZZ9	dadA7 H16_B1893	D-amino-acid dehydrogenase (EC 1.4.99.1)	Cytoplasm
Q0JZB1	betA1 betA H16_B2131	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	Cytoplasm
Q0KFM5	hutG H16_A0044	Formimidoylglutamase (EC 3.5.3.8) (Formiminoglutamase) (Formiminoglutamate hydrolase)	Cytoplasm
Q0K6I0	trpC H16_A3322	Indole-3-glycerol phosphate synthase (IGPS) (EC 4.1.1.48)	Cytoplasm
Q0K3G6	H16_B0661	Acyl-CoA dehydrogenase (EC 1.3.99.3)	Cytoplasm
Q0K487	H16_B0388	3-Hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)	Cytoplasm
Q0K1Z5	H16_B1188	Enoyl-CoA hydratase/isomerase (EC 4.2.1.17)	Cytoplasm
Q59098	pdhB H16_A1375	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	Cytoplasm
Q0KAC1	sbm2 H16_A1949	Methylmalonyl-CoA mutase (EC 5.4.99.2)	Cytoplasm
Q0K183	fdoH H16_B1453	Formate dehydrogenase beta subunit (EC 1.2.1.2)	Cytoplasm
Q0K285	H16_B1098	Pyridinenucleotide-disulphide (Lipoamid) oxidoreductase (EC 1.8.1.4)	Cytoplasm
Q0K1B3	H16_B1422	Thioredoxin reductase (EC 1.8.1.9)	Cytoplasm
Q0KCW2	xdhA1 H16_A1017	Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A (EC 1.17.1.4)	Cytoplasm
Q0K4P7	galE H16_B0226	UDP-glucose 4-epimerase (EC 5.1.3.2)	Cytoplasm
Q0KBC5	H16_A1564	Predicted acyltransferase (EC 2.3.1.-)	Cytoplasm
Q0KA68	phaC2 H16_A2003	Poly(3-hydroxybutyrate) polymerase (EC 2.3.1.-)	Cytoplasm
Q0K2A2	tyrB2 H16_B1081	Tyrosine aminotransferase (EC 2.6.1.57)	Cytoplasm
Q0KDJ2	ssnA H16_A0782	Cytosine deaminase or related metal-dependent hydrolase (EC 3.5.4.-)	Cytoplasm
Q0KAS2	H16_A1789	Glycerol trinitrate reductase (EC 1.7.1.-)	Cytoplasm
